botid, date, time, press, theta, sigma, temp, csal, coxy, bsal, boxy, dic, ph, alk, phos, nit, sil, no2, 
#, mmddyy, hhmmss, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, PSS-78, umol/kg, umol/kg,  , ueq/kg, umol/kg, umol/kg, umol/kg, nmol/kg, 
0010200505, 103188, 082849, 3877.7,  1.1569, 27.780,  1.4616, 34.6829,  148.1, 34.6819,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200504, 103188, 082356, 4087.4,  1.1358, 27.783,  1.4633, 34.6848,  149.9, 34.6845,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200503, 103188, 081901, 4267.2,  1.1240, 27.785,  1.4717, 34.6859,  150.6, 34.6859,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200502, 103188, 081328, 4483.3,  1.1132, 27.786,  1.4859, 34.6870,  151.5, 34.6851,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200501, 103188, 080157, 4705.8,  1.1068, 27.787,  1.5061, 34.6875,  150.3, 34.6883,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200604, 103188, 125746,  516.8,  6.2276, 26.759,  6.2735, 34.0322,   -9.0, 34.0320,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200601, 103188, 124357, 1011.5,  3.8304, 27.392,  3.9063, 34.4823,   -9.0, 34.4816,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200705, 103188, 150832,   10.7, 26.2616, 23.097, 26.2640, 35.1900,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.07,   0.00,   0.52,   -9.0,
0010200704, 103188, 150658,   25.5, 26.2625, 23.096, 26.2683, 35.1894,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.08,   0.04,   0.71,   -9.0,
0010200703, 103188, 150517,   42.9, 26.2528, 23.100, 26.2624, 35.1900,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.09,   0.02,   0.31,   -9.0,
0010200702, 103188, 150335,   68.3, 23.6274, 23.895, 23.6416, 35.1883,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.08,   0.00,   0.91,   -9.0,
0010200701, 103188, 150129,  114.4, 21.5579, 24.478, 21.5803, 35.1784,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.16,   0.40,   1.70,   -9.0,
0010200808, -00009, -00009,    2.3, 26.2712, 23.092, 26.2718, 35.1871,   -9.0, 35.2429,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200807, -00009, -00009,  497.0,  6.6929, 26.644,  6.7387, 33.9629,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200806, -00009, -00009, 1013.1,  3.7232, 27.354,  3.7982, 34.4218,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200901, 103188, 192251,  995.0,  3.8541, 27.304,  3.9286, 34.3755,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201010, 110188, 063545,    4.1, 26.2617, 23.065, 26.2626, 35.1480,   -9.0, 35.1978,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201009, 110188, 063421,   19.8, 26.2610, 23.056, 26.2655, 35.1350,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201008, 110188, 063300,   38.8, 26.2330, 23.063, 26.2417, 35.1332,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201007, 110188, 063054,   68.6, 23.3911, 24.012, 23.4053, 35.2510,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201006, 110188, 062845,  117.6, 21.0130, 24.632, 21.0355, 35.1837,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201005, 110188, 062444,  304.9, 12.3094, 25.936, 12.3498, 34.2341,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201004, 110188, 061933,  506.1,  6.5526, 26.692,  6.5988, 34.0008,   -9.0, 34.0309,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201003, 110188, 061422,  753.3,  4.4642, 27.189,  4.5226, 34.3110,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201002, 110188, 060743, 1011.7,  3.8001, 27.396,  3.8757, 34.4841,   -9.0, 34.4833,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201001, 110188, 060705, 1011.5,  3.8027, 27.396,  3.8784, 34.4842,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201111, 110188, 120733,   16.6, 26.2669, 23.150, 26.2706, 35.2632,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.08,   0.02,   0.71,   -9.0,
0010201110, 110188, 120612,   36.5, 26.2751, 23.126, 26.2833, 35.2337,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.09,   0.00,   0.71,   -9.0,
0010201109, 110188, 120440,   56.4, 25.8195, 23.296, 25.8320, 35.2712,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.07,   0.02,   0.71,   -9.0,
0010201108, 110188, 120300,   77.8, 24.2617, 23.796, 24.2782, 35.3049,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.08,   0.00,   1.11,   -9.0,
0010201107, 110188, 120127,   97.8, 23.0945, 24.130, 23.1146, 35.2926,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.09,   0.00,   1.70,   -9.0,
0010201106, 110188, 120000,  117.3, 21.7041, 24.517, 21.7271, 35.2829,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.14,   0.36,   1.50,   -9.0,
0010201105, 110188, 115843,  137.8, 20.4284, 24.846, 20.4543, 35.2583,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.22,   1.30,   2.10,   -9.0,
0010201104, 110188, 115719,  157.7, 19.4943, 25.023, 19.5230, 35.1679,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.29,   2.37,   2.50,   -9.0,
0010201103, 110188, 115519,  181.8, 18.0608, 25.295, 18.0922, 35.0481,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.34,   3.07,   3.10,   -9.0,
0010201102, 110188, 115244,  204.2, 16.9392, 25.445, 16.9728, 34.8896,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.42,   4.21,   4.08,   -9.0,
0010201101, 110188, 115101,  228.8, 15.3494, 25.665, 15.3846, 34.7011,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.47,   4.92,   5.08,   -9.0,
0010201211, -00009, -00009,  273.5, 13.1185, 25.808, 13.1562, 34.2754,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201210, 110188, 134639,  303.8, 12.0284, 25.924, 12.0680, 34.1498,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   0.86,  10.90,  11.24,   -9.0,
0010201209, 110188, 134459,  354.5, 10.2063, 26.241, 10.2480, 34.1345,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   1.16,  15.32,  17.98,   -9.0,
0010201208, 110188, 134259,  405.3,  8.7075, 26.471,  8.7508, 34.1146,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   1.54,  20.90,  28.70,   -9.0,
0010201207, 110188, 134000,  505.4,  6.1798, 26.790,  6.2245, 34.0639,   -9.0, 34.0332,   -9.0,    -9.0, -9.000,    -9,   2.38,  32.55,  59.88,   -9.0,
0010201206, 110188, 133656,  602.9,  5.2401, 26.951,  5.2896, 34.1216,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   2.82,  38.41,  80.72,   -9.0,
0010201205, 110188, 133348,  705.7,  4.7423, 27.116,  4.7982, 34.2580,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   3.05,  41.24,  96.40,   -9.0,
0010201204, 110188, 132946,  805.2,  4.4781, 27.220,  4.5410, 34.3517,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   3.08,  41.17, 103.53,   -9.0,
0010201203, 110188, 132601,  906.4,  4.2248, 27.316,  4.2947, 34.4383,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,   3.07,  41.50, 109.09,   -9.0,
0010201202, 110188, 132255, 1008.8,  3.9359, 27.374,  4.0123, 34.4734,   -9.0, 34.4726,   -9.0,    -9.0, -9.000,    -9,   3.07,  41.50,  -9.00,   -9.0,
0010201305, 110188, 213534,    7.7, 26.2752, 23.475, 26.2769, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201304, 110188, 213102,   24.4, 26.2441, 23.272, 26.2496, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201303, 110188, 212612,   44.2, 26.2454, 23.152, 26.2553, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201302, 110188, 212052,   69.4, 26.0482, 23.166, 26.0637, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201311, -00009, -00009,  310.8, 11.8086, 25.956, 11.8487, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201310, 110188, 214035,  508.6,  6.3868, 26.748,  6.4325, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201309, 110188, 213945,  755.8,  4.5906, 27.526,  4.6505, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201308, 110188, 213842, 1007.2,  3.8848, 27.627,  3.9612, -9.0000,   -9.0, -9.0000,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201402, 110288, 000249,   11.8, 26.3344, 23.067, 26.3370, 35.1802,   -9.0, 35.1754,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
